;dh_share;reduction_residential space;reduction_services space;total_twh_residential;total_twh_services
AL;0,2;0,4;0,5;;
AT;0,2;0,4;0,5;;
BA;0,2;0,4;0,5;;
BE;0,2;0,4;0,5;;
BG;0,2;0,4;0,5;;
CH;0,2;0,4;0,5;;
CZ;0,2;0,4;0,5;;
DE;0,2;0,4;0,5;600;200
DK;0,2;0,4;0,5;;
EE;0,2;0,4;0,5;;
ES;0,2;0,4;0,5;;
FI;0,2;0,4;0,5;;
FR;0,2;0,4;0,5;;
GB;0,2;0,4;0,5;;
GR;0,2;0,4;0,5;;
HR;0,2;0,4;0,5;;
HU;0,2;0,4;0,5;;
IE;0,2;0,4;0,5;;
IT;0,2;0,4;0,5;;
LT;0,2;0,4;0,5;;
LU;0,2;0,4;0,5;;
LV;0,2;0,4;0,5;;
ME;0,2;0,4;0,5;;
MK;0,2;0,4;0,5;;
NL;0,2;0,4;0,5;;
NO;0,2;0,4;0,5;;
PL;0,2;0,4;0,5;;
PT;0,2;0,4;0,5;;
RO;0,2;0,4;0,5;;
RS;0,2;0,4;0,5;;
SE;0,2;0,4;0,5;;
SI;0,2;0,4;0,5;;
SK;0,2;0,4;0,5;;
